query|answer
step for cancel with cancellation protection|Step By Step - Cancel with Cancellation Protection *Our Product*<br>1. Open PNR in respective office id, use RT+PNR<br>2. Check Ticket status (O or A) in the ticket line. Use RTTN to open the ticket line. TWD/L1 to open the ticket.<br>3. Check that the original departure time is more than 2hrs. Not applicable for a partially used ticket or for multi PNR when the outbound flight has been used.<br>4. Confirm cancellation of segments with the customer to avoid no show.<br>5. Delete segments: XE1-5 or XE1,3 and then ER to save and IR to double-check.<br>6. Run Modify order with ''Cancellation protection ETG'' reason<br>7. Send cancellation confirmation email from Edvin. First Line Cancellation CXL confirmation CXL protection . The passenger has to download our med. certificate and then upload it to the respective link.<br>8. Make a register errand.<br>*Choose Type: 10.Cancellation Protection and respective Action according to the customer request<br>9. The CR will queue the booking for a refund to BO when a medical certificate is approved in the GDS or through Edvin<br>You can find below how to handle the Cancellation protection for the tickets issued through Farelogix and how to handle the orders where the customer requests cancellation against Xcover (Cover Genius):<br>Farelogix - Lufthansa group << https://etraveligroup.shelf.io/read/e9e9a820-ce0e-4170-a826-42d71524aa86 >><br>Farelogix - American Airlines << https://etraveligroup.shelf.io/read/4e8b8ab8-22c6-4b5c-8023-c5fbd44f0dcc >><br>Farelogix - Olympic / Aegean airlines << https://etraveligroup.shelf.io/read/55f2752c-25fb-4546-bbaf-a7caf3a54b6e >><br>Docs Ref: Step By Step - Cancel with Cancellation Protection _Our Product_
how to check cancellation rules|If the airline allows refund, the booking should be put on queue to BO, and a cancellation confirmation should be sent to the passenger and an email should be sent to the airline regarding refund at agentrefund@norwegian.com.<br>Docs Ref: DY Norwegian Portal
how to check fare rules|Content - Amadeus GDS Entries<br>How to check fare rules<br>1st option: the FQP smartflow<br>Insert the ticket number and then the number of the flight coupons.<br>Select the respective option with FQQ number of options (Eg: FQQ4) If needed(if more than one option in result). Make sure all the fare bases in the selected option match the ones in your ticket.<br>Check the rules with FQN number of option*PE(Eg: FQN1*PE)<br>*Does not work for OPEN JAW tickets (ARN-ATH / ROM-ARN)<br>Option 2: Backdate Pricing (FXX command)<br>If we have active segments in the PNR, price them with the date of the ticket issuance:<br>FXX/S2-3,5-6/R,UP,20MAR22<br>FXX: is pricing command<br>S: are the segments numbers<br>20MAR22: date of ticket issuance<br>Select the respective option with FQQ number of options (Eg: FQQ4) If needed(if more than one option in result). Make sure all the fare bases in the selected option match the ones in your ticket.<br>FQQ number of option(Eg: FQQ2)<br>FQNnumber of option*PE(Eg: FQN2*PE)<br>Option 3: FQD Command<br>FQDCDGATH/R,UP,20MAR22/D15JUN22/AAF/CK<br>FQD<br>CDGATH: is the city pair (origin and destination of the fare component)<br>20MAR22: date of ticket issuance.<br>15JUN22: date of departure(for this city pair destination)<br>AAF: A is constant and AF is the 2 letter airline code (e.g Air France)<br>CK: C is constant and K is the booking class/first letter of the fare basis<br>After, use the command FQN1*PE to read the penalties where 1 is the option of the correct fare basis.<br>What if there is the same fare basis more than once?<br>Then,you will have to select the fare base where the fare amount is the same as in the original ticket.<br>Please compare the fare amount with the fare amount that you see beside the fare basis.<br>Docs Ref: Amadeus GDS Entries
what are the different options to check fare rules|General:<br>If a ticket was exchanged, usually you need to check the original ticket and insert the original ticket issue date in your command. Guidelines on how to check which cancellation rules will apply for reissued tickets can be found here. << https://etraveligroup.shelf.io/read/2dd08be8-e876-463b-ad3b-07e13bdd2f33?parentId=fa27987a-15d6-437c-8d79-4df8051f804b&view=card-view&trigger=title&searchEventId=01GF5HTEP38EXC4AJSK5P2RXNR&source=shelf >><br>We always need to identify first the number of the pricing units and fare components, to understand the penalty application. For more information, please check this page.<< https://etraveligroup.shelf.io/read/b76bc541-b4c2-4da6-a89e-3cc19e8a4f5c?parentId=d9fe540b-7c96-4903-a0bd-1791051452cc&view=snippet-view&trigger=title&searchEventId=01H4R7R368Q90N8G1E5YN3EHTG&source=shelf >><br>If there is more than one pricing unit in the ticket, but in the fare rules it is not mentioned to apply the<br>penalty per pricing unit, by default, we apply the penalties per each PU as a sum.<br>1st option to display the fare rules:<br>WETR*Ticket line<br>If the ticket number must be inserted use WETR*Ttkt number (tkt number should be inserted without a hyphen - date of ticket issuance.<br>CDGATH - the city pair<br>15JUN20 - date of departure(for this city pair destination)<br>ABCDEFG - fare basis<br>AF - airline 2-letter code<br>After, use the command RD1*PE to read the penalties where 1 is the option of the correct fare basis.<br>By using RD1*M, you can see the menu of the fare rules, in case you need to check another category (1 is used as an example, the number must always be the correct line of the fare basis).<br>2nd option to display the fare rules:<br>WETR*Ticket line<br>If the ticket number must be inserted, use WETR*Ttkt number (tkt number should be inserted without a hyphen '-')).<br>RD20MAR20CDGATH15JUN20ABCDEFG-AF*PE<br>Where:<br>20MAR20 - date of ticket issuance.<br>CDGATH - the city pair<br>15JUN20 - date of departure (for this city pair destination)<br>ABCDEFG - fare basis<br>AF - airline 2- letter code<br>The penalty rule will be displayed right away.<br>3rd option to display the fare rules:<br>Use graphical mode in Sabre (not to be used for Amadeus tickets):<br>1) Click on the below buttons (suitcase image and then PNR):<br>2) Click on PRICE QUOTES (to close the Trip Summary window click on suitcase image):<br>3) Click on the arrow below:<br>4) And then on the green symbol to check the fare rules:<br>5) Select by clicking the PENALTIES and the fare basis for which you would like to find the rules:<br>4th option to display the fare rules:<br>WETR*Ticket line<br>If the ticket number must be inserted use WETR*Ttkt number (tkt number should be inserted without a hyphen '-')).<br>WPB20MAR21<br>Where:<br>20MAR21 - date of ticket issuance.<br>This is backdate pricing. So after, you can use the command WPRD*PE, to read the penalty rules. It will be successful if there is only 1 fare basis in the ticket.<br>If there is more than 1 fare basis in the ticket, then this command will open only the pricing unit view of the pricing mask.<br>In the case that we have more than 1 fare basis (for example, 1 roundtrip ticket with 2 different fare bases), then the correct command after WPB20MAR21 would for the 1st fare for the 2nd fare basis, and so on.<br>In case we do not find in Sabre the correct fare base option, we can try in Amadeus as shown here << https://etraveligroup.shelf.io/read/099b9fac-cdb3-4d9f-b904-e20b80ca9e56/?view=snippet-view&trigger=title&searchEventId=01HHETC7BP98TAS52A6R79GYN9&source=shelf&DTStep=01GW4TYWG7BSHD7AZSF1J0HCEM#first-opened-step >>.<br>Please note that in some cases there might be no information in Penalties and thus we should check if there is a Voluntary Refunds (VR) category as well, as the information regarding the fees and charges might be there.<br>Docs Ref: Sabre GDS Entries
what are the fare rules for cancellation|"Fare Rules<br>Fare rules are displayed during the booking creation as well as afterward through the portal (but NOT for the BASIC fares).<br>Fare rules are visible on the Portal for all the rest fare basis.<br>Example: If the ticket is nonrefundable by the rules then the Rules will not be visible on the Portal.<br>Underneath the table you can find the button to check the fare rules before any action.<br>1) For fare rules (for cabin fares), you should visit AC.COM << https://www.aircanada.com/ca/en/aco/home/book/manage-bookings.html#/ >> (via Manage my Booking) and then click on the fare basis:<br>Economy - Basic<br>2) And now, fare rules are available on the site:<br>The claim task has been moved to the SL team as of November 5, 2024.<br>Handling Based on Original Travel Time:<br>1) If Original Travel is more than 4 Hours:<br>- Inform customer about the Penalty and if the customer confirms the cancellation, click on ""Modify"" button accordingly (automation will work if it is available), SL will continue and cancel the order in the Portal.<br>2) Original Travel is within or Less than 4 Hours:<br>Follow the standard refund routine as usual.<br>Step by step:<br>Voluntary cancellation:<br>1) Login to the portal and retrieve the PNR.<br>2) Check the fare rules through the button.<br>3) Inform the customer accordingly, about the rules and ETG fee (if applicable).<br>4) If the customer accepts to cancel the ticket, click on and click on to the pop-up message that will appear.<br>5) After that, please proceed with ""Modify Order"" with the reason ""Fare Rules"" and in the info to box add a note to the message that appeared (PNR has been successfully canceled) along with the ticket numbers and send cancellation confirmation using the cancellation template from Edvin (CXL conf - fare tkt rules 9.A).<br>ATTENTION: During this process, there is no breakdown of the cancellation so make sure the customer is informed in advance at least about the penalties.<br>6) On the next steps, there are 2 available options: and is always preselected so pay attention to your selection based on the request.<br>6.2) If the fare of the PNR is not creditable, the option will not be available.<br>Voluntary cancellation after the voluntary exchange:<br>If the customer wants to cancel by the rules after a voluntary change has been finalized, the refund will be by the rules or retain credit (depending on the fare basis).<br>Voluntary cancellation after the involuntary exchange:<br>If the customer wants to cancel by the rules after an involuntary change has been finalized, the refund will be by the rules or retain credit (depending on the fare basis).<br>Partially used tickets:<br>The refund flow is automated for partially used tickets. The system will show any refundable amount.<br>Please keep in mind the ETG fees (if applicable).<br>Docs Ref: Tripstack - Air Canada AC Connex"
what are the most important fare rules|The most important fare rules are:<br>16.PENALTIES<br>11.BLACKOUTS<br>03.SEASONS<br>04.FLIGHT APPL<br>05.ADV RES/TKTG<br>06.MIN STAY<br>07.MAX STAY<br>Docs Ref: Travelport GDS Entries
how to check fare rules|Content - Amadeus GDS Entries<br>How to check fare rules<br>1st option: the FQP smartflow<br>Insert the ticket number and then the number of the flight coupons.<br>Select the respective option with FQQ number of options (Eg: FQQ4) If needed(if more than one option in result). Make sure all the fare bases in the selected option match the ones in your ticket.<br>Check the rules with FQN number of option*PE(Eg: FQN1*PE)<br>*Does not work for OPEN JAW tickets (ARN-ATH / ROM-ARN)<br>Option 2: Backdate Pricing (FXX command)<br>If we have active segments in the PNR, price them with the date of the ticket issuance:<br>FXX/S2-3,5-6/R,UP,20MAR22<br>FXX: is pricing command<br>S: are the segments numbers<br>20MAR22: date of ticket issuance<br>Select the respective option with FQQ number of options (Eg: FQQ4) If needed(if more than one option in result). Make sure all the fare bases in the selected option match the ones in your ticket.<br>FQQ number of option(Eg: FQQ2)<br>FQNnumber of option*PE(Eg: FQN2*PE)<br>Option 3: FQD Command<br>FQDCDGATH/R,UP,20MAR22/D15JUN22/AAF/CK<br>FQD<br>CDGATH: is the city pair (origin and destination of the fare component)<br>20MAR22: date of ticket issuance.<br>15JUN22: date of departure(for this city pair destination)<br>AAF: A is constant and AF is the 2 letter airline code (e.g Air France)<br>CK: C is constant and K is the booking class/first letter of the fare basis<br>After, use the command FQN1*PE to read the penalties where 1 is the option of the correct fare basis.<br>What if there is the same fare basis more than once?<br>Then,you will have to select the fare base where the fare amount is the same as in the original ticket.<br>Please compare the fare amount with the fare amount that you see beside the fare basis.<br>Docs Ref: Amadeus GDS Entries
how to rebook ticket|Sabre - Rebooking using Flex and changes not permitted:<br>1. *Sabre - Rebooking using Flex and changes not permitted<br>Availability<br>1. Retrieve pnr in respective office id, use *pnr<br>2. Clone the pnr with ICAPDXA. All details will be cloned.<br>3. Make availability for new and old flights that he wants to keep using the below command:<br>4. ex: Select seats: 0 (n.seats)(class)(line n.) ex. 04k1k3<br>6. *A to retrieve pnr<br>Pricing<br>1. Price all segments that he will use. If he asks to rebook OB and keep IB you have to<br>2. include in the command new OB and old IB.<br>3. Pricing: WPS1/2 For Child: N1.1 For infant N1.1<br>4. Or to find best available combination: (be careful to keep the same baggage allowance as in the original ticket and to not downgrade the cabin, if a specific one has been selected).<br>Calculation<br>1. flexible applied: Compare total new cost with Edvin Air cost.<br>2. If partialy used ticket: Compare total new cost with half of Edvin Air cost.<br>3. Create payment link: Include the fare/tax difference in his currency. No penalty applies<br>4. If passenger will not proceed or you send PL for 30 min, ignore the pnr and register errand in Edvin with Rebooking template ( Flex tkt new tkt)<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. Save new seats with initials and then ER and then IR to get locator<br>3. Use 7T-A for ticketing element if needed. then initials and ER<br>4. Delete old segments( UC segment): x1-2 and save with initials+er and ir to double check<br>5. Do pricing command again and save it with PQ AND ER.<br>6. Press *pq to be sure that manual pricing mask saved<br>7. Add the email and phone number of pax as SSR CTC lines in the new PNR.<br>Queue to ticketing<br>1. Then open original pnr again:<br>If totally unused delete segment.<br>If partially used: do not delete segments<br>2. Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under the Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE.<br>Select change status and reason in the rebooking wizard.<br>Sabre - Rebooking using Flex and changes not permitted<br>Docs Ref: Sabre - Rebooking using Flex and changes not permitted
how to rebook ticket|Sabre - Rebooking using Flex and changes not permitted:<br>1. *Sabre - Rebooking using Flex and changes not permitted<br>Availability<br>1. Retrieve pnr in respective office id, use *pnr<br>2. Clone the pnr with ICAPDXA. All details will be cloned.<br>3. Make availability for new and old flights that he wants to keep using the below command:<br>4. ex: Select seats: 0 (n.seats)(class)(line n.) ex. 04k1k3<br>6. *A to retrieve pnr<br>Pricing<br>1. Price all segments that he will use. If he asks to rebook OB and keep IB you have to<br>2. include in the command new OB and old IB.<br>3. Pricing: WPS1/2 For Child: N1.1 For infant N1.1<br>4. Or to find best available combination: (be careful to keep the same baggage allowance as in the original ticket and to not downgrade the cabin, if a specific one has been selected).<br>Calculation<br>1. flexible applied: Compare total new cost with Edvin Air cost.<br>2. If partialy used ticket: Compare total new cost with half of Edvin Air cost.<br>3. Create payment link: Include the fare/tax difference in his currency. No penalty applies<br>4. If passenger will not proceed or you send PL for 30 min, ignore the pnr and register errand in Edvin with Rebooking template ( Flex tkt new tkt)<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. Save new seats with initials and then ER and then IR to get locator<br>3. Use 7T-A for ticketing element if needed. then initials and ER<br>4. Delete old segments( UC segment): x1-2 and save with initials+er and ir to double check<br>5. Do pricing command again and save it with PQ AND ER.<br>6. Press *pq to be sure that manual pricing mask saved<br>7. Add the email and phone number of pax as SSR CTC lines in the new PNR.<br>Queue to ticketing<br>1. Then open original pnr again:<br>If totally unused delete segment.<br>If partially used: do not delete segments<br>2. Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under the Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE.<br>Select change status and reason in the rebooking wizard.<br>Sabre - Rebooking using Flex and changes not permitted<br>Docs Ref: Sabre - Rebooking using Flex and changes not permitted
how to void|1) Jump to correct PCC on same window: AAApcc name<br>2) Open PNR: *PNR<br>Example:<br>AAA4ZTH<br>*ABCDEF<br>3) Open ticket list for all passengers: *T<br>4) Check if Void is permitted, based on the time of ticket issuance, which is indicated in the time zone of the respective PCC.<br>To check the PCC you are in, use the command W/*pcc<br>Example: W/*56WI<br>56WI E-TRAVEL SA/DE<br>BERLIN, DE<br>You could use T*city 3 letter code (T*ATH) to check and compare the local time both in the issuing PCC and in your timeline.<br>If void is possible:<br>1) Void each ticket with command WVline of the ticket<br>Example: WV2 (where 2 is the line of the ticket)<br>The action must be done twice to confirm it, so please reenter the command you previously used.<br>2) To cancel segments, use the command X segment lines.<br>Example: X1-4<br>Every action should be saved in the end with 6 your signature (initials), and ER.<br>Docs Ref: Sabre GDS Entries
how to rebook ticket|Sabre - Rebooking using Flex and changes not permitted:<br>1. *Sabre - Rebooking using Flex and changes not permitted<br>Availability<br>1. Retrieve pnr in respective office id, use *pnr<br>2. Clone the pnr with ICAPDXA. All details will be cloned.<br>3. Make availability for new and old flights that he wants to keep using the below command:<br>4. ex: Select seats: 0 (n.seats)(class)(line n.) ex. 04k1k3<br>6. *A to retrieve pnr<br>Pricing<br>1. Price all segments that he will use. If he asks to rebook OB and keep IB you have to<br>2. include in the command new OB and old IB.<br>3. Pricing: WPS1/2 For Child: N1.1 For infant N1.1<br>4. Or to find best available combination: (be careful to keep the same baggage allowance as in the original ticket and to not downgrade the cabin, if a specific one has been selected).<br>Calculation<br>1. flexible applied: Compare total new cost with Edvin Air cost.<br>2. If partialy used ticket: Compare total new cost with half of Edvin Air cost.<br>3. Create payment link: Include the fare/tax difference in his currency. No penalty applies<br>4. If passenger will not proceed or you send PL for 30 min, ignore the pnr and register errand in Edvin with Rebooking template ( Flex tkt new tkt)<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. Save new seats with initials and then ER and then IR to get locator<br>3. Use 7T-A for ticketing element if needed. then initials and ER<br>4. Delete old segments( UC segment): x1-2 and save with initials+er and ir to double check<br>5. Do pricing command again and save it with PQ AND ER.<br>6. Press *pq to be sure that manual pricing mask saved<br>7. Add the email and phone number of pax as SSR CTC lines in the new PNR.<br>Queue to ticketing<br>1. Then open original pnr again:<br>If totally unused delete segment.<br>If partially used: do not delete segments<br>2. Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under the Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE.<br>Select change status and reason in the rebooking wizard.<br>Sabre - Rebooking using Flex and changes not permitted<br>Docs Ref: Sabre - Rebooking using Flex and changes not permitted
how to rebook ticket|Sabre - Rebooking using Flex and changes not permitted:<br>1. *Sabre - Rebooking using Flex and changes not permitted<br>Availability<br>1. Retrieve pnr in respective office id, use *pnr<br>2. Clone the pnr with ICAPDXA. All details will be cloned.<br>3. Make availability for new and old flights that he wants to keep using the below command:<br>4. ex: Select seats: 0 (n.seats)(class)(line n.) ex. 04k1k3<br>6. *A to retrieve pnr<br>Pricing<br>1. Price all segments that he will use. If he asks to rebook OB and keep IB you have to<br>2. include in the command new OB and old IB.<br>3. Pricing: WPS1/2 For Child: N1.1 For infant N1.1<br>4. Or to find best available combination: (be careful to keep the same baggage allowance as in the original ticket and to not downgrade the cabin, if a specific one has been selected).<br>Calculation<br>1. flexible applied: Compare total new cost with Edvin Air cost.<br>2. If partialy used ticket: Compare total new cost with half of Edvin Air cost.<br>3. Create payment link: Include the fare/tax difference in his currency. No penalty applies<br>4. If passenger will not proceed or you send PL for 30 min, ignore the pnr and register errand in Edvin with Rebooking template ( Flex tkt new tkt)<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. Save new seats with initials and then ER and then IR to get locator<br>3. Use 7T-A for ticketing element if needed. then initials and ER<br>4. Delete old segments( UC segment): x1-2 and save with initials+er and ir to double check<br>5. Do pricing command again and save it with PQ AND ER.<br>6. Press *pq to be sure that manual pricing mask saved<br>7. Add the email and phone number of pax as SSR CTC lines in the new PNR.<br>Queue to ticketing<br>1. Then open original pnr again:<br>If totally unused delete segment.<br>If partially used: do not delete segments<br>2. Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under the Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE.<br>Select change status and reason in the rebooking wizard.<br>Sabre - Rebooking using Flex and changes not permitted<br>Docs Ref: Sabre - Rebooking using Flex and changes not permitted
do you need to check the ticket rules if the refund is due to schedule change or force majeure|No, If the refund is due to schedule change or force majeure, you do not need to check the ticket rules.<br>Docs Ref: Reissued ticket cancellation
how to refund involuntary reissued ticket|Amadeus involuntary reissued ticket<br>In this example there is no amount after total, instead it says NO ADC which means no additional collect. We now know that there s been no fare difference for this new ticket which indicates an involuntary reissue. It is visible in the bottom of the ticket calculation on the TOTAL amount row.<br>But to be absolutely sure we need to check the remarks and look for an EMD in the PNR. To check, use either RTF or RHFA to locate any possible additional EMD and ticket numbers.<br>For involuntary reissued tickets with no ADC the form of payment (FP line, abbreviated to FOP) is always the same as the original ticket.<br>Refund of involuntary reissued ticket<br>When a ticket is reissued due to involuntary reasons we always try to find seats available in the same class, but if that is not possible the airline might give an authorization to upgrade the ticket.<br>This could mean that the refund rules differ between the original ticket and the reissued one. However since it is not by the choice of the passenger to change the ticket we will always go by the rules of the original ticket in this scenario.<br>Check the rules of the original ticket.<br>Try to access the original ticket from the history in the PNR using RHFA and TWD/TKT055-XXXXXXXX70. If you cannot access the ticket, check the original farebasis with TTH command. More info on how to display the history of active/purged PNR can be found here. << https://etraveligroup.shelf.io/read/aa559017-1c97-4d87-b867-ed17eb30a5dd?parentId=6dc689bb-e384-4c3b-9479-3ea92eeee5e3&view=snippet-view&trigger=title&searchEventId=01GCRJ7RYMTWEGYCBRGAASZA8R&source=shelf >><br>Example on how to retrieve the original ticket issue date.<br>Whenever a ticket in Amadeus is reissued due to a previous Schedule change or Force Majeure without an additional collection, eventually we need to cancel the reservation upon the request according to the fare rules:<br>1) If the usual ways to check the fare rules do not work(FQP flow, backdate pricing, or FQD command), usually that is because the date of issue is incorrect in our command.<br>2) To find the original ticket date, check the FO line inside the new ticket or the date when the original TST was see the difference:<br>After trying FQP flow:<br>Or FQD command:<br>FQDFRADLM/ATK/D14SEP22/R,20AUG22/CJ<br>None of the results is matching us.<br>But once we update the date of issuance:<br>We get the correct farebasis on option 2.<br>Now, we can proceed with retrieving and interpreting the penalty rule.<br>If the refund is due to schedule change or force majeure, you do not need to check the ticket rules.<br>Docs Ref: Reissued ticket cancellation
how to refund involuntary reissued ticket|Sabre Involuntary reissued ticketd<br>Refund of involuntary reissued ticket<br>When a ticket is reissued due to involuntary reasons we always try to find seats available in the same class, but if that is not possible the airline might give us the authorization to upgrade the ticket. This could mean that the refund rules differ between the original ticket and the reissued one.<br>However, since it is not by the choice of the passenger to change the ticket we will always go by the rules of the original ticket in this scenario.<br>If the refund is due to schedule change or force majeure, you do not need to check the ticket rules.<br>Docs Ref: Reissued ticket cancellation
what are the refund rules if the ticket is reissued due to involuntary reasons|Sabre Involuntary reissued ticketd<br>Refund of involuntary reissued ticket<br>When a ticket is reissued due to involuntary reasons we always try to find seats available in the same class, but if that is not possible the airline might give us the authorization to upgrade the ticket. This could mean that the refund rules differ between the original ticket and the reissued one.<br>However, since it is not by the choice of the passenger to change the ticket we will always go by the rules of the original ticket in this scenario.<br>Check the rules of the original ticket.<br>Try to access the original ticket. If you can t access the ticket directly in the PNR you will have to<br>To check the original Price Quote and use the command *PQS and then *PQ1 (if PQ1 is the original fare basis). Once you have the farebasis you can proceed with checking the fare rules. If you retrieve the original ticket number you can also open it with the command WTDB*Txxxx (where xxxx is the original ticket number ).<br>If the refund is due to schedule change or force majeure, you do not need to check the ticket rules.<br>Docs Ref: Reissued ticket cancellation
what type of errand should be used in edvin for etg escalation|"Found possible response for your query. Please refer to the document(s) below<br>The paragraph provides information about the different statuses related to a timed-out order, including ""Refund in progress"" and ""Refund sent"", and the handling time for releasing funds. It also mentions the ""Price Change"" state for a cart that has presented a price change to the customer.<br>Docs Ref: Edvin,Bcom phase 1 - FL processes"
step for cancel with cancellation protection|Step By Step - Cancel with Cancellation Protection *Our Product*<br>1. Open PNR in respective office id, use RT+PNR<br>2. Check Ticket status (O or A) in the ticket line. Use RTTN to open the ticket line. TWD/L1 to open the ticket.<br>3. Check that the original departure time is more than 2hrs. Not applicable for a partially used ticket or for multi PNR when the outbound flight has been used.<br>4. Confirm cancellation of segments with the customer to avoid no show.<br>5. Delete segments: XE1-5 or XE1,3 and then ER to save and IR to double-check.<br>6. Run Modify order with ''Cancellation protection ETG'' reason<br>7. Send cancellation confirmation email from Edvin. First Line Cancellation CXL confirmation CXL protection . The passenger has to download our med. certificate and then upload it to the respective link.<br>8. Make a register errand.<br>*Choose Type: 10.Cancellation Protection and respective Action according to the customer request<br>9. The CR will queue the booking for a refund to BO when a medical certificate is approved in the GDS or through Edvin<br>You can find below how to handle the Cancellation protection for the tickets issued through Farelogix and how to handle the orders where the customer requests cancellation against Xcover (Cover Genius):<br>Farelogix - Lufthansa group << https://etraveligroup.shelf.io/read/e9e9a820-ce0e-4170-a826-42d71524aa86 >><br>Farelogix - American Airlines << https://etraveligroup.shelf.io/read/4e8b8ab8-22c6-4b5c-8023-c5fbd44f0dcc >><br>Farelogix - Olympic / Aegean airlines << https://etraveligroup.shelf.io/read/55f2752c-25fb-4546-bbaf-a7caf3a54b6e >><br>Docs Ref: Step By Step - Cancel with Cancellation Protection _Our Product_
what are the steps for rebooking|"Rebooking<br>All the flight changes should be performed in the graphic mode. In case the original ticket had an emd (seating/baggage) the emd may not be automatically associated with the new ticket.<br>You need to contact the airline to reassociate the emd and if not reassociated then the customer needs to pay again. Please make sure to inform the customer in advance of this possibility.<br>1) In case the customer is only interested in the penalty and no specific date is provided you can see the fare rules here in Full dare conditions<br>1.1) The class & the status of the segment will be shown in the ticket, however, no bag info.<br>1.2) For Fare Breakdown of the tickets: Products -> Air segments -> Right Arrow & click on For baggage allowance of the current ticket: Click on -> we can see Fare basis & Baggage allowance<br>Example:<br>0 PC for these tickets.<br>2) If a date is provided then<br>2.1) Select the flight that you need to change:<br>2.2) Press on ""Exchange"":<br>2.3) Fill in the new flights:<br>2.4) Press on New Select the flight you want to rebook and make sure that the new flight option is with the NDC sign in the right corner. Also, it is possible to filter the new flights with Flight times, Airlines, and Cabins.<br>If we need to check again the Fare Rules, fare is accessible again.<br>At the top of the screen, you may see the total amount that the customer needs to pay to the airline.<br>2.5.a) If customers have bought the Flexible ticket service, they will only need to pay us the fare/tax difference (not the penalty), and after the customer's payment (in case there is a fare/tax difference), we will pay the entire amount on Amadeus NDC-X (along with the airline penalty). Therefore please check the cost separately if customers have Flexible tickets and exclude the Penalty.<br>The above screenshot shows the price breakdown (Price Difference = Fare/Tax Difference & the Penalties).<br>The customers must be charged for both of them (if they do not have flexible service).<br>2.5.b) Please note that for rebooking the customer needs to pay on the spot since the offer is only available for 30 minutes.<br>2.6) Press on the arrow for the flight details and baggage allowance.<br>2.6.a) Then you may inform and charge the customer accordingly.<br>2.6.b) For the payment link select the correct product depending on if the customer has a Flexible ticket or not.<br>2.6.c) In Edvin, for choosing the correct payment cart:<br>- When airlines require CASH as FOP, select: Airline Cost - Rebooking / New Ticket (GDS) NOT Flexible Ticket<br>- When airlines require VAN as FOP, select: Airline Cost - Rebooking / New Ticket (LCC) NOT Flexible Ticket<br>2.7) After the customer has paid<br>2.7.a) If AV or LO booking, issue a VAN card and click on Next.<br>2.7.b) If AF/KLM or AY no need for a VAN card issuance.<br>2.8) After the customer has paid you need to verify that the flights are correct in order to reissue the ticket<br>You can also see the fare breakdown if you scroll down<br>2.9) Add the form of payment<br>2.9.a) For AV or LO bookings -> FOP is VAN<br>2.9.b) For AF/KLM or AY bookings -> FOP is CASH<br>2.9.c) and press on After the successful issuance, you can see the new tkt number and the message content was paid and After the reissue, the original ticket numbers will appear as Entered Register payment in Edvin (on the occasions are required -ex. for VAN rebooking scenarios).<br>2.10.a) Once the rebooking is confirmed, proceed with the rest actions in Edvin as per our normal routines as per this Shelf page: Sync Trip button, under customer trip field<< https://etraveligroup.shelf.io/read/137effd9-d6c1-4024-bb69-1edc493a5a95/?component=draft-page&parentId=76ef6158-fc5b-4e3c-b0a2-aee72cd0fe7d&source=shelf&trigger=back-button&view=draft-app&DTStep=01HYWCTZV4R45BQ0KNS0STMXA8#first-opened-step >>.<br>If this is not possible, use the old routine: Send email confirmation to customer from Edvin. Use template titled '' External portal booking details '' located under folder First Line-> Other ,and Register an Errand.<br>2.11) Only for AF/KLM, AY or SK ->Place in ""UPA TKT - Close D365 External portals"" queue including the new ticket number and the passengers' names.<br>Also, include the Changefee EMD number (if any). If the Penalty is charged as an EMD (changefee), it will be as PENF beside the EMD number.<br>Docs Ref: Amadeus NDC-X"
what are the fare rules for cancellation|"The refund process for cancellations is automated and the total refundable amount will be displayed after selecting the itinerary and pressing ""Cancel"". The penalty amount and ETG fee will be informed to the customer before confirming the refund. If the refunded amount is lower than the ETG fee, the agent should still cancel and refund in the portal, but should not modify the order. The tax refund and partially used ticket refund flows are also automated.<br>Docs Ref: Amadeus NDC-X"
